epoch,d_Loss,accuracy,g_loss,adv,recon,id,elapsed_time
0,0.13488563895225525,85.12500524520874,1.970459222793579,0.6344832181930542,0.032320767641067505,0.03608406335115433,0 days 05:29:01.403969000
1,0.08963996171951294,89.43750262260437,2.7388782501220703,0.989571213722229,0.03475780785083771,0.032634153962135315,0 days 10:35:10.775507000
2,0.10751733183860779,88.87500166893005,2.4527196884155273,0.7051984071731567,0.04710782319307327,0.06879135221242905,0 days 15:41:48.561006000
3,0.05446954071521759,96.56250476837158,2.34527850151062,0.9150211811065674,0.024232052266597748,0.010850884951651096,0 days 20:48:22.491487000
4,0.09210003167390823,91.68750047683716,2.6499218940734863,0.7626839876174927,0.050671592354774475,0.08098512887954712,1 days 02:09:54.710046000
5,0.27842211723327637,45.125001668930054,1.9352871179580688,0.7517874240875244,0.019880715757608414,0.018538419157266617,1 days 07:22:49.802777000
6,0.1455061137676239,71.93750143051147,2.449214220046997,0.942549467086792,0.025529462844133377,0.026440665125846863,1 days 12:27:46.896980000
